Latitude,Longitude,Address,Weekly Temperature
11.344460948338314,77.5946,"Perundurai - Kavandapady Road, Perundurai, Erode, Tamil Nadu, 638052, India",25.9
14.176891179623365,76.46038672835388,"Kyadigere, Chitradurga taluku, Chitradurga, Karnataka, 577524, India",25.4
12.822467028221823,79.26913297216012,"Arcot, Ranipet, Tamil Nadu, 632512, India",30.0
11.95729219933339,76.25653827444337,"Malali, Heggadadevanakote taluk, Mysuru, Karnataka, 571116, India",21.8
14.617546015369914,77.89262317140701,"Chillavaripalle, Tadimarri, Sri Sathya Sai, Andhra Pradesh, India",32.5
11.550879687370761,78.51141390194248,"Tamampatti-Kerrapatti-Malayampatti-Seliyampatti, Seeliampatty Pudur, Keeripatti, Attur, Salem, Tamil Nadu, 636107, India",27.3
13.404484432511445,75.9237310321794,"Gangabasavanahalli, Pillenahalli, Kaduru taluk, Chikkamagaluru, Karnataka, 577135, India",24.5
13.753864011315441,79.14099240916354,"Kambhamvaripalle, Kummarapalle, Yerravaripalem, Tirupati, Andhra Pradesh, 517197, India",27.6
11.35922693501549,77.00015691405319,"lingapuram, Mettupalayam, Coimbatore, Tamil Nadu, 641301, India",26.4
14.564960826467852,76.91671462852428,"Gollaladoddi, Chelimanahalli, Brahmasamudram, Anantapur, Andhra Pradesh, 515863, India",28.6
12.232922354220502,79.19459186821938,"Kilpennathur, Tiruvannamalai, Tamil Nadu, India",30.3
12.440823374253123,75.89931663637584,"NH275, 7th Hosakote, Kushalanagar taluku, Kodagu, Karnataka, India",20.0
14.491854502346795,78.49626759517022,"Potimamidipalli, Sangalapalle, Veerapunayunipalle, YSR, Andhra Pradesh, 516321, India",34.1
11.245281908566904,77.98219643556902,"Sengodampalayam, Ramadevam, Paramathi-Velur, Namakkal, Tamil Nadu, 637203, India",27.8
13.987130434014915,76.10312667137465,"Rangapura, Holalkere taluk, Chitradurga, Karnataka, 577539, India",25.4
13.198723095939696,79.40434167221633,"Malavada, Palasamudram, Chittoor, Andhra Pradesh, 631301, India",29.8
